"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"AV",1.5,0.75,50,50,7.5,"large"
"AV",1.5,0.75,50,40,-7.5,"small"
"AV",1.5,0.75,50,40,-7.5,"large"
"AV",1.5,0.75,50,40,7.5,"small"
"AV",1.5,0.75,50,40,7.5,"large"
"AV",1.5,0.75,50,60,-7.5,"small"
"AV",1.5,0.75,50,60,-7.5,"large"
"AV",1.5,0.75,50,60,7.5,"small"
"AV",1.5,0.75,50,60,7.5,"large"
"AV",1.5,0.75,40,50,-7.5,"small"
"AV",1.5,0.75,40,50,-7.5,"large"
"AV",1.5,0.75,40,50,7.5,"small"
"AV",1.5,0.75,40,50,7.5,"large"
"AV",1.5,0.75,60,50,-7.5,"small"
"AV",1.5,0.75,60,50,-7.5,"large"
"AV",1.5,0.75,60,50,7.5,"small"
"AV",1.5,0.75,60,50,7.5,"large"
"AV",1.5,2.25,30,30,-7.5,"small"
"AV",1.5,2.25,30,30,-7.5,"large"
"AV",1.5,2.25,30,30,7.5,"small"
"AV",1.5,2.25,30,30,7.5,"large"
"AV",1.5,2.25,30,20,-7.5,"small"
"AV",1.5,2.25,30,20,-7.5,"large"
"AV",1.5,2.25,30,20,7.5,"small"
"AV",1.5,2.25,30,20,7.5,"large"
"AV",1.5,2.25,30,40,-7.5,"small"
"AV",1.5,2.25,30,40,-7.5,"large"
"AV",1.5,2.25,30,40,7.5,"small"
"AV",1.5,2.25,30,40,7.5,"large"
"AV",1.5,2.25,20,30,-7.5,"small"
"AV",1.5,2.25,20,30,-7.5,"large"
"AV",1.5,2.25,20,30,7.5,"small"
"AV",1.5,2.25,20,30,7.5,"large"
"AV",1.5,2.25,40,30,-7.5,"small"
"AV",1.5,2.25,40,30,-7.5,"large"
"AV",1.5,2.25,40,30,7.5,"small"
"AV",1.5,2.25,40,30,7.5,"large"
"AV",1.5,2.25,50,50,-7.5,"small"
"AV",1.5,2.25,50,50,-7.5,"large"
"AV",1.5,2.25,50,50,7.5,"small"
"AV",1.5,2.25,50,50,7.5,"large"
"AV",1.5,2.25,50,40,-7.5,"small"
"AV",1.5,2.25,50,40,-7.5,"large"
"AV",1.5,2.25,50,40,7.5,"small"
"AV",1.5,2.25,50,40,7.5,"large"
"AV",1.5,2.25,50,60,-7.5,"small"
"AV",1.5,2.25,50,60,-7.5,"large"
"AV",1.5,2.25,50,60,7.5,"small"
"AV",1.5,2.25,50,60,7.5,"large"
"AV",1.5,2.25,40,50,-7.5,"small"
"AV",1.5,2.25,40,50,-7.5,"large"
"AV",1.5,2.25,40,50,7.5,"small"
"AV",1.5,2.25,40,50,7.5,"large"
"AV",1.5,2.25,60,50,-7.5,"small"
"AV",1.5,2.25,60,50,-7.5,"large"
"AV",1.5,2.25,60,50,7.5,"small"
"AV",1.5,2.25,60,50,7.5,"large"
"AV",0.75,1.5,30,30,-7.5,"small"
"AV",0.75,1.5,30,30,-7.5,"large"
"AV",0.75,1.5,30,30,7.5,"small"
"AV",0.75,1.5,30,30,7.5,"large"
"AV",0.75,1.5,30,20,-7.5,"small"
"AV",0.75,1.5,30,20,-7.5,"large"
"AV",0.75,1.5,30,20,7.5,"small"
"AV",0.75,1.5,30,20,7.5,"large"
"AV",0.75,1.5,30,40,-7.5,"small"
"AV",0.75,1.5,30,40,-7.5,"large"
"AV",0.75,1.5,30,40,7.5,"small"
"AV",0.75,1.5,30,40,7.5,"large"
"AV",0.75,1.5,20,30,-7.5,"small"
"AV",0.75,1.5,20,30,-7.5,"large"
"AV",0.75,1.5,20,30,7.5,"small"
"AV",0.75,1.5,20,30,7.5,"large"
"AV",0.75,1.5,40,30,-7.5,"small"
"AV",0.75,1.5,40,30,-7.5,"large"
"AV",0.75,1.5,40,30,7.5,"small"
"AV",0.75,1.5,40,30,7.5,"large"
"AV",0.75,1.5,50,50,-7.5,"small"
"AV",0.75,1.5,50,50,-7.5,"large"
"AV",0.75,1.5,50,50,7.5,"small"
"AV",0.75,1.5,50,50,7.5,"large"
"AV",0.75,1.5,50,40,-7.5,"small"
"AV",0.75,1.5,50,40,-7.5,"large"
"AV",0.75,1.5,50,40,7.5,"small"
"AV",0.75,1.5,50,40,7.5,"large"
"AV",0.75,1.5,50,60,-7.5,"small"
"AV",0.75,1.5,50,60,-7.5,"large"
"AV",0.75,1.5,50,60,7.5,"small"
"AV",0.75,1.5,50,60,7.5,"large"
"AV",0.75,1.5,40,50,-7.5,"small"
"AV",0.75,1.5,40,50,-7.5,"large"
"AV",0.75,1.5,40,50,7.5,"small"
"AV",0.75,1.5,40,50,7.5,"large"
"AV",0.75,1.5,60,50,-7.5,"small"
"AV",0.75,1.5,60,50,-7.5,"large"
"AV",0.75,1.5,60,50,7.5,"small"
"AV",0.75,1.5,60,50,7.5,"large"
"AV",2.25,1.5,30,30,-7.5,"small"
"AV",2.25,1.5,30,30,-7.5,"large"
"AV",2.25,1.5,30,30,7.5,"small"
"AV",2.25,1.5,30,30,7.5,"large"
"AV",2.25,1.5,30,20,-7.5,"small"
"AV",2.25,1.5,30,20,-7.5,"large"
"AV",2.25,1.5,30,20,7.5,"small"
"AV",2.25,1.5,30,20,7.5,"large"
"AV",2.25,1.5,30,40,-7.5,"small"
"AV",2.25,1.5,30,40,-7.5,"large"
"AV",2.25,1.5,30,40,7.5,"small"
"AV",2.25,1.5,30,40,7.5,"large"
"AV",2.25,1.5,20,30,-7.5,"small"
"AV",2.25,1.5,20,30,-7.5,"large"
"AV",2.25,1.5,20,30,7.5,"small"
"AV",2.25,1.5,20,30,7.5,"large"
"AV",2.25,1.5,40,30,-7.5,"small"
"AV",2.25,1.5,40,30,-7.5,"large"
"AV",2.25,1.5,40,30,7.5,"small"
"AV",2.25,1.5,40,30,7.5,"large"
"AV",2.25,1.5,50,50,-7.5,"small"
"AV",2.25,1.5,50,50,-7.5,"large"
"AV",2.25,1.5,50,50,7.5,"small"
"AV",2.25,1.5,50,50,7.5,"large"
"AV",2.25,1.5,50,40,-7.5,"small"
"AV",2.25,1.5,50,40,-7.5,"large"
"AV",2.25,1.5,50,40,7.5,"small"
"AV",2.25,1.5,50,40,7.5,"large"
"AV",2.25,1.5,50,60,-7.5,"small"
"AV",2.25,1.5,50,60,-7.5,"large"
"AV",2.25,1.5,50,60,7.5,"small"
"AV",2.25,1.5,50,60,7.5,"large"
"AV",2.25,1.5,40,50,-7.5,"small"
"AV",2.25,1.5,40,50,-7.5,"large"
"AV",2.25,1.5,40,50,7.5,"small"
"AV",2.25,1.5,40,50,7.5,"large"
"AV",2.25,1.5,60,50,-7.5,"small"
"AV",2.25,1.5,60,50,-7.5,"large"
"AV",2.25,1.5,60,50,7.5,"small"
"AV",2.25,1.5,60,50,7.5,"large"
"AV",3.25,3.25,30,30,-7.5,"small"
"AV",3.25,3.25,30,30,-7.5,"large"
"AV",3.25,3.25,30,30,7.5,"small"
"AV",3.25,3.25,30,30,7.5,"large"
"AV",3.25,3.25,30,20,-7.5,"small"
"AV",3.25,3.25,30,20,-7.5,"large"
"AV",3.25,3.25,30,20,7.5,"small"
"AV",3.25,3.25,30,20,7.5,"large"
"AV",3.25,3.25,30,40,-7.5,"small"
"AV",3.25,3.25,30,40,-7.5,"large"
"AV",3.25,3.25,30,40,7.5,"small"
"AV",3.25,3.25,30,40,7.5,"large"
"AV",3.25,3.25,20,30,-7.5,"small"
"AV",3.25,3.25,20,30,-7.5,"large"
"AV",3.25,3.25,20,30,7.5,"small"
"AV",3.25,3.25,20,30,7.5,"large"
"AV",3.25,3.25,40,30,-7.5,"small"
"AV",3.25,3.25,40,30,-7.5,"large"
"AV",3.25,3.25,40,30,7.5,"small"
"AV",3.25,3.25,40,30,7.5,"large"
"AV",3.25,3.25,50,50,-7.5,"small"
"AV",3.25,3.25,50,50,-7.5,"large"
"AV",3.25,3.25,50,50,7.5,"small"
"AV",3.25,3.25,50,50,7.5,"large"
"AV",3.25,3.25,50,40,-7.5,"small"
"AV",3.25,3.25,50,40,-7.5,"large"
"AV",3.25,3.25,50,40,7.5,"small"
"AV",3.25,3.25,50,40,7.5,"large"
"AV",3.25,3.25,50,60,-7.5,"small"
"AV",3.25,3.25,50,60,-7.5,"large"
"AV",3.25,3.25,50,60,7.5,"small"
"AV",3.25,3.25,50,60,7.5,"large"
"AV",3.25,3.25,40,50,-7.5,"small"
"AV",3.25,3.25,40,50,-7.5,"large"
"AV",3.25,3.25,40,50,7.5,"small"
"AV",3.25,3.25,40,50,7.5,"large"
"AV",3.25,3.25,60,50,-7.5,"small"
"AV",3.25,3.25,60,50,-7.5,"large"
"AV",3.25,3.25,60,50,7.5,"small"
"AV",3.25,3.25,60,50,7.5,"large"
"AV",3.25,2.25,30,30,-7.5,"small"
"AV",3.25,2.25,30,30,-7.5,"large"
"AV",3.25,2.25,30,30,7.5,"small"
"AV",3.25,2.25,30,30,7.5,"large"
"AV",3.25,2.25,30,20,-7.5,"small"
"AV",3.25,2.25,30,20,-7.5,"large"
"AV",3.25,2.25,30,20,7.5,"small"
"AV",3.25,2.25,30,20,7.5,"large"
"AV",3.25,2.25,30,40,-7.5,"small"
"AV",3.25,2.25,30,40,-7.5,"large"
"AV",3.25,2.25,30,40,7.5,"small"
"AV",3.25,2.25,30,40,7.5,"large"
"AV",3.25,2.25,20,30,-7.5,"small"
"AV",3.25,2.25,20,30,-7.5,"large"
"AV",3.25,2.25,20,30,7.5,"small"
"AV",3.25,2.25,20,30,7.5,"large"
"AV",3.25,2.25,40,30,-7.5,"small"
"AV",3.25,2.25,40,30,-7.5,"large"
"AV",3.25,2.25,40,30,7.5,"small"
"AV",3.25,2.25,40,30,7.5,"large"
"AV",3.25,2.25,50,50,-7.5,"small"
"AV",3.25,2.25,50,50,-7.5,"large"
"AV",3.25,2.25,50,50,7.5,"small"
"AV",3.25,2.25,50,50,7.5,"large"
"AV",3.25,2.25,50,40,-7.5,"small"
"AV",3.25,2.25,50,40,-7.5,"large"
"AV",3.25,2.25,50,40,7.5,"small"
"AV",3.25,2.25,50,40,7.5,"large"
"AV",3.25,2.25,50,60,-7.5,"small"
"AV",3.25,2.25,50,60,-7.5,"large"
"AV",3.25,2.25,50,60,7.5,"small"
"AV",3.25,2.25,50,60,7.5,"large"
"AV",3.25,2.25,40,50,-7.5,"small"
"AV",3.25,2.25,40,50,-7.5,"large"
"AV",3.25,2.25,40,50,7.5,"small"
"AV",3.25,2.25,40,50,7.5,"large"
"AV",3.25,2.25,60,50,-7.5,"small"
"AV",3.25,2.25,60,50,-7.5,"large"
"AV",3.25,2.25,60,50,7.5,"small"
"AV",3.25,2.25,60,50,7.5,"large"
"AV",3.25,4.25,30,30,-7.5,"small"
"AV",3.25,4.25,30,30,-7.5,"large"
"AV",3.25,4.25,30,30,7.5,"small"
"AV",3.25,4.25,30,30,7.5,"large"
"AV",3.25,4.25,30,20,-7.5,"small"
"AV",3.25,4.25,30,20,-7.5,"large"
"AV",3.25,4.25,30,20,7.5,"small"
"AV",3.25,4.25,30,20,7.5,"large"
"AV",3.25,4.25,30,40,-7.5,"small"
"AV",3.25,4.25,30,40,-7.5,"large"
"AV",3.25,4.25,30,40,7.5,"small"
"AV",3.25,4.25,30,40,7.5,"large"
"AV",3.25,4.25,20,30,-7.5,"small"
"AV",3.25,4.25,20,30,-7.5,"large"
"AV",3.25,4.25,20,30,7.5,"small"
"AV",3.25,4.25,20,30,7.5,"large"
"AV",3.25,4.25,40,30,-7.5,"small"
"AV",3.25,4.25,40,30,-7.5,"large"
"AV",3.25,4.25,40,30,7.5,"small"
"AV",3.25,4.25,40,30,7.5,"large"
"AV",3.25,4.25,50,50,-7.5,"small"
"AV",3.25,4.25,50,50,-7.5,"large"
"AV",3.25,4.25,50,50,7.5,"small"
"AV",3.25,4.25,50,50,7.5,"large"
"AV",3.25,4.25,50,40,-7.5,"small"
"AV",3.25,4.25,50,40,-7.5,"large"
"AV",3.25,4.25,50,40,7.5,"small"
"AV",3.25,4.25,50,40,7.5,"large"
"AV",3.25,4.25,50,60,-7.5,"small"
"AV",3.25,4.25,50,60,-7.5,"large"
"AV",3.25,4.25,50,60,7.5,"small"
"AV",3.25,4.25,50,60,7.5,"large"
"AV",3.25,4.25,40,50,-7.5,"small"
"AV",3.25,4.25,40,50,-7.5,"large"
"AV",3.25,4.25,40,50,7.5,"small"
"AV",3.25,4.25,40,50,7.5,"large"
"AV",3.25,4.25,60,50,-7.5,"small"
"AV",3.25,4.25,60,50,-7.5,"large"
"AV",3.25,4.25,60,50,7.5,"small"
"AV",3.25,4.25,60,50,7.5,"large"
"AV",2.25,3.25,30,30,-7.5,"small"
"AV",2.25,3.25,30,30,-7.5,"large"
"AV",2.25,3.25,30,30,7.5,"small"
"AV",2.25,3.25,30,30,7.5,"large"
"AV",2.25,3.25,30,20,-7.5,"small"
"AV",2.25,3.25,30,20,-7.5,"large"
"AV",2.25,3.25,30,20,7.5,"small"
"AV",2.25,3.25,30,20,7.5,"large"
"AV",2.25,3.25,30,40,-7.5,"small"
"AV",2.25,3.25,30,40,-7.5,"large"
"AV",2.25,3.25,30,40,7.5,"small"
"AV",2.25,3.25,30,40,7.5,"large"
"AV",2.25,3.25,20,30,-7.5,"small"
"AV",2.25,3.25,20,30,-7.5,"large"
"AV",2.25,3.25,20,30,7.5,"small"
"AV",2.25,3.25,20,30,7.5,"large"
"AV",2.25,3.25,40,30,-7.5,"small"
"AV",2.25,3.25,40,30,-7.5,"large"
"AV",2.25,3.25,40,30,7.5,"small"
"AV",2.25,3.25,40,30,7.5,"large"
"AV",2.25,3.25,50,50,-7.5,"small"
"AV",2.25,3.25,50,50,-7.5,"large"
"AV",2.25,3.25,50,50,7.5,"small"
"AV",2.25,3.25,50,50,7.5,"large"
"AV",2.25,3.25,50,40,-7.5,"small"
"AV",2.25,3.25,50,40,-7.5,"large"
"AV",2.25,3.25,50,40,7.5,"small"
"AV",2.25,3.25,50,40,7.5,"large"
"AV",2.25,3.25,50,60,-7.5,"small"
"AV",2.25,3.25,50,60,-7.5,"large"
"AV",2.25,3.25,50,60,7.5,"small"
"AV",2.25,3.25,50,60,7.5,"large"
"AV",2.25,3.25,40,50,-7.5,"small"
"AV",2.25,3.25,40,50,-7.5,"large"
"AV",2.25,3.25,40,50,7.5,"small"
"AV",2.25,3.25,40,50,7.5,"large"
"AV",2.25,3.25,60,50,-7.5,"small"
"AV",2.25,3.25,60,50,-7.5,"large"
"AV",2.25,3.25,60,50,7.5,"small"
"AV",2.25,3.25,60,50,7.5,"large"
"AV",4.25,3.25,30,30,-7.5,"small"
"AV",4.25,3.25,30,30,-7.5,"large"
"AV",4.25,3.25,30,30,7.5,"small"
"AV",4.25,3.25,30,30,7.5,"large"
"AV",4.25,3.25,30,20,-7.5,"small"
"AV",4.25,3.25,30,20,-7.5,"large"
"AV",4.25,3.25,30,20,7.5,"small"
"AV",4.25,3.25,30,20,7.5,"large"
"AV",4.25,3.25,30,40,-7.5,"small"
"AV",4.25,3.25,30,40,-7.5,"large"
"AV",4.25,3.25,30,40,7.5,"small"
"AV",4.25,3.25,30,40,7.5,"large"
"AV",4.25,3.25,20,30,-7.5,"small"
"AV",4.25,3.25,20,30,-7.5,"large"
"AV",4.25,3.25,20,30,7.5,"small"
"AV",4.25,3.25,20,30,7.5,"large"
"AV",4.25,3.25,40,30,-7.5,"small"
"AV",4.25,3.25,40,30,-7.5,"large"
"AV",4.25,3.25,40,30,7.5,"small"
"AV",4.25,3.25,40,30,7.5,"large"
"AV",4.25,3.25,50,50,-7.5,"small"
"AV",4.25,3.25,50,50,-7.5,"large"
"AV",4.25,3.25,50,50,7.5,"small"
"AV",4.25,3.25,50,50,7.5,"large"
"AV",4.25,3.25,50,40,-7.5,"small"
"AV",4.25,3.25,50,40,-7.5,"large"
"AV",4.25,3.25,50,40,7.5,"small"
"AV",4.25,3.25,50,40,7.5,"large"
"AV",4.25,3.25,50,60,-7.5,"small"
"AV",4.25,3.25,50,60,-7.5,"large"
"AV",4.25,3.25,50,60,7.5,"small"
"AV",4.25,3.25,50,60,7.5,"large"
"AV",4.25,3.25,40,50,-7.5,"small"
"AV",4.25,3.25,40,50,-7.5,"large"
"AV",4.25,3.25,40,50,7.5,"small"
"AV",4.25,3.25,40,50,7.5,"large"
"AV",4.25,3.25,60,50,-7.5,"small"
"AV",4.25,3.25,60,50,-7.5,"large"
"AV",4.25,3.25,60,50,7.5,"small"
"AV",4.25,3.25,60,50,7.5,"large"
"AV",5,5,30,30,-7.5,"small"
"AV",5,5,30,30,-7.5,"large"
"AV",5,5,30,30,7.5,"small"
"AV",5,5,30,30,7.5,"large"
"AV",5,5,30,20,-7.5,"small"
"AV",5,5,30,20,-7.5,"large"
"AV",5,5,30,20,7.5,"small"
"AV",5,5,30,20,7.5,"large"
"AV",5,5,30,40,-7.5,"small"
"AV",5,5,30,40,-7.5,"large"
"AV",5,5,30,40,7.5,"small"
"AV",5,5,30,40,7.5,"large"
"AV",5,5,20,30,-7.5,"small"
"AV",5,5,20,30,-7.5,"large"
"AV",5,5,20,30,7.5,"small"
"AV",5,5,20,30,7.5,"large"
"AV",5,5,40,30,-7.5,"small"
"AV",5,5,40,30,-7.5,"large"
"AV",5,5,40,30,7.5,"small"
"AV",5,5,40,30,7.5,"large"
"AV",5,5,50,50,-7.5,"small"
"AV",5,5,50,50,-7.5,"large"
"AV",5,5,50,50,7.5,"small"
"AV",5,5,50,50,7.5,"large"
"AV",5,5,50,40,-7.5,"small"
"AV",5,5,50,40,-7.5,"large"
"AV",5,5,50,40,7.5,"small"
"AV",5,5,50,40,7.5,"large"
"AV",5,5,50,60,-7.5,"small"
"AV",5,5,50,60,-7.5,"large"
"AV",5,5,50,60,7.5,"small"
"AV",5,5,50,60,7.5,"large"
"AV",5,5,40,50,-7.5,"small"
"AV",5,5,40,50,-7.5,"large"
"AV",5,5,40,50,7.5,"small"
"AV",5,5,40,50,7.5,"large"
"AV",5,5,60,50,-7.5,"small"
"AV",5,5,60,50,-7.5,"large"
"AV",5,5,60,50,7.5,"small"
"AV",5,5,60,50,7.5,"large"
"AV",5,3.6,30,30,-7.5,"small"
"AV",5,3.6,30,30,-7.5,"large"
"AV",5,3.6,30,30,7.5,"small"
"AV",5,3.6,30,30,7.5,"large"
"AV",5,3.6,30,20,-7.5,"small"
"AV",5,3.6,30,20,-7.5,"large"
"AV",5,3.6,30,20,7.5,"small"
"AV",5,3.6,30,20,7.5,"large"
"AV",5,3.6,30,40,-7.5,"small"
"AV",5,3.6,30,40,-7.5,"large"
"AV",5,3.6,30,40,7.5,"small"
"AV",5,3.6,30,40,7.5,"large"
"AV",5,3.6,20,30,-7.5,"small"
"AV",5,3.6,20,30,-7.5,"large"
"AV",5,3.6,20,30,7.5,"small"
"AV",5,3.6,20,30,7.5,"large"
"AV",5,3.6,40,30,-7.5,"small"
"AV",5,3.6,40,30,-7.5,"large"
"AV",5,3.6,40,30,7.5,"small"
"AV",5,3.6,40,30,7.5,"large"
"AV",5,3.6,50,50,-7.5,"small"
"AV",5,3.6,50,50,-7.5,"large"
"AV",5,3.6,50,50,7.5,"small"
"AV",5,3.6,50,50,7.5,"large"
"AV",5,3.6,50,40,-7.5,"small"
"AV",5,3.6,50,40,-7.5,"large"
"AV",5,3.6,50,40,7.5,"small"
"AV",5,3.6,50,40,7.5,"large"
"AV",5,3.6,50,60,-7.5,"small"
"AV",5,3.6,50,60,-7.5,"large"
"AV",5,3.6,50,60,7.5,"small"
"AV",5,3.6,50,60,7.5,"large"
"AV",5,3.6,40,50,-7.5,"small"
"AV",5,3.6,40,50,-7.5,"large"
"AV",5,3.6,40,50,7.5,"small"
"AV",5,3.6,40,50,7.5,"large"
"AV",5,3.6,60,50,-7.5,"small"
"AV",5,3.6,60,50,-7.5,"large"
"AV",5,3.6,60,50,7.5,"small"
"AV",5,3.6,60,50,7.5,"large"
"AV",5,6.4,30,30,-7.5,"small"
"AV",5,6.4,30,30,-7.5,"large"
"AV",5,6.4,30,30,7.5,"small"
"AV",5,6.4,30,30,7.5,"large"
"AV",5,6.4,30,20,-7.5,"small"
"AV",5,6.4,30,20,-7.5,"large"
"AV",5,6.4,30,20,7.5,"small"
"AV",5,6.4,30,20,7.5,"large"
"AV",5,6.4,30,40,-7.5,"small"
"AV",5,6.4,30,40,-7.5,"large"
"AV",5,6.4,30,40,7.5,"small"
"AV",5,6.4,30,40,7.5,"large"
"AV",5,6.4,20,30,-7.5,"small"
"AV",5,6.4,20,30,-7.5,"large"
"AV",5,6.4,20,30,7.5,"small"
"AV",5,6.4,20,30,7.5,"large"
"AV",5,6.4,40,30,-7.5,"small"
"AV",5,6.4,40,30,-7.5,"large"
"AV",5,6.4,40,30,7.5,"small"
"AV",5,6.4,40,30,7.5,"large"
"AV",5,6.4,50,50,-7.5,"small"
"AV",5,6.4,50,50,-7.5,"large"
"AV",5,6.4,50,50,7.5,"small"
"AV",5,6.4,50,50,7.5,"large"
"AV",5,6.4,50,40,-7.5,"small"
"AV",5,6.4,50,40,-7.5,"large"
"AV",5,6.4,50,40,7.5,"small"
"AV",5,6.4,50,40,7.5,"large"
"AV",5,6.4,50,60,-7.5,"small"
"AV",5,6.4,50,60,-7.5,"large"
"AV",5,6.4,50,60,7.5,"small"
"AV",5,6.4,50,60,7.5,"large"
"AV",5,6.4,40,50,-7.5,"small"
"AV",5,6.4,40,50,-7.5,"large"
"AV",5,6.4,40,50,7.5,"small"
"AV",5,6.4,40,50,7.5,"large"
"AV",5,6.4,60,50,-7.5,"small"
"AV",5,6.4,60,50,-7.5,"large"
"AV",5,6.4,60,50,7.5,"small"
"AV",5,6.4,60,50,7.5,"large"
"AV",3.6,5,30,30,-7.5,"small"
"AV",3.6,5,30,30,-7.5,"large"
"AV",3.6,5,30,30,7.5,"small"
"AV",3.6,5,30,30,7.5,"large"
"AV",3.6,5,30,20,-7.5,"small"
"AV",3.6,5,30,20,-7.5,"large"
"AV",3.6,5,30,20,7.5,"small"
"AV",3.6,5,30,20,7.5,"large"
"AV",3.6,5,30,40,-7.5,"small"
"AV",3.6,5,30,40,-7.5,"large"
"AV",3.6,5,30,40,7.5,"small"
"AV",3.6,5,30,40,7.5,"large"
"AV",3.6,5,20,30,-7.5,"small"
"AV",3.6,5,20,30,-7.5,"large"
"AV",3.6,5,20,30,7.5,"small"
"AV",3.6,5,20,30,7.5,"large"
"AV",3.6,5,40,30,-7.5,"small"
"AV",3.6,5,40,30,-7.5,"large"
"AV",3.6,5,40,30,7.5,"small"
"AV",3.6,5,40,30,7.5,"large"
"AV",3.6,5,50,50,-7.5,"small"
"AV",3.6,5,50,50,-7.5,"large"
"AV",3.6,5,50,50,7.5,"small"
"AV",3.6,5,50,50,7.5,"large"
"AV",3.6,5,50,40,-7.5,"small"
"AV",3.6,5,50,40,-7.5,"large"
"AV",3.6,5,50,40,7.5,"small"
"AV",3.6,5,50,40,7.5,"large"
"AV",3.6,5,50,60,-7.5,"small"
"AV",3.6,5,50,60,-7.5,"large"
"AV",3.6,5,50,60,7.5,"small"
"AV",3.6,5,50,60,7.5,"large"
"AV",3.6,5,40,50,-7.5,"small"
"AV",3.6,5,40,50,-7.5,"large"
"AV",3.6,5,40,50,7.5,"small"
"AV",3.6,5,40,50,7.5,"large"
"AV",3.6,5,60,50,-7.5,"small"
"AV",3.6,5,60,50,-7.5,"large"
"AV",3.6,5,60,50,7.5,"small"
"AV",3.6,5,60,50,7.5,"large"
"AV",6.4,5,30,30,-7.5,"small"
"AV",6.4,5,30,30,-7.5,"large"
"AV",6.4,5,30,30,7.5,"small"
"AV",6.4,5,30,30,7.5,"large"
"AV",6.4,5,30,20,-7.5,"small"
"AV",6.4,5,30,20,-7.5,"large"
"AV",6.4,5,30,20,7.5,"small"
"AV",6.4,5,30,20,7.5,"large"
"AV",6.4,5,30,40,-7.5,"small"
"AV",6.4,5,30,40,-7.5,"large"
"AV",6.4,5,30,40,7.5,"small"
"AV",6.4,5,30,40,7.5,"large"
"AV",6.4,5,20,30,-7.5,"small"
"AV",6.4,5,20,30,-7.5,"large"
"AV",6.4,5,20,30,7.5,"small"
"AV",6.4,5,20,30,7.5,"large"
"AV",6.4,5,40,30,-7.5,"small"
"AV",6.4,5,40,30,-7.5,"large"
"AV",6.4,5,40,30,7.5,"small"
"AV",6.4,5,40,30,7.5,"large"
"AV",6.4,5,50,50,-7.5,"small"
"AV",6.4,5,50,50,-7.5,"large"
"AV",6.4,5,50,50,7.5,"small"
"AV",6.4,5,50,50,7.5,"large"
"AV",6.4,5,50,40,-7.5,"small"
